distribution,seed,method,mean_dcor,sd_dcor,p95_dcor,max_dcor
a,18,Cholesky,0.18666199914151976,0.031198997698487944,0.2384326560513592,0.2807464841166829
a,18,ZCA-cor,0.18320521872112036,0.03086813913958827,0.24431354075596914,0.27395090598794347
a,18,PCA-cor,0.17966129453147092,0.028704832851637784,0.23672770195810686,0.25002937587968577
a,19,Mixed,0.3216732136859713,0.14133405610163358,0.586627908257415,0.7561584545595172
a,19,ZCA,0.1941876114388534,0.05792261135729448,0.24363484817407724,0.46783866138992913
a,19,PCA,0.18558689093829872,0.04475663310740981,0.2650780834793478,0.3772821759943877
a,19,Cholesky,0.18936991318866114,0.054766515226513914,0.3031320224639751,0.3856134147649192
a,19,ZCA-cor,0.1927459017611615,0.060874057685336595,0.24683413709058807,0.4843152624090777
a,19,PCA-cor,0.1908408397182286,0.039075231139080735,0.2660926054470048,0.30870440730061777
a,20,Mixed,0.31734788112635126,0.14098825086740158,0.6106892490367113,0.7330533966931445
a,20,ZCA,0.1904834397266471,0.050924037635026585,0.2932600303426875,0.3791003348894772
a,20,PCA,0.18460366474117135,0.06290174751109505,0.24565238000742345,0.5226584808301876
a,20,Cholesky,0.1919680558578263,0.04692223951869962,0.250183846071917,0.4018708088830177
a,20,ZCA-cor,0.19051872955950241,0.05008944098960997,0.2849744547588858,0.3620612984346263
a,20,PCA-cor,0.18551325811323202,0.056741341853464085,0.30800764154206545,0.363621409079694
a,21,Mixed,0.3119467239498002,0.12625690314003066,0.5583227522929552,0.7395864315006945
a,21,ZCA,0.19157438060062412,0.03958910842314172,0.26497722260312734,0.3278189978314904
a,21,PCA,0.1819473476237897,0.030961407614609006,0.22393413331778605,0.2826850488857638
a,21,Cholesky,0.19166946425945944,0.036927659031458976,0.2553080675074487,0.3157615853833148
a,21,ZCA-cor,0.1909728582747636,0.04049914591937545,0.24881622425568922,0.32011019182943135
a,21,PCA-cor,0.18479534430085012,0.02901234455229248,0.23258181846021136,0.24643654733836984
a,22,Mixed,0.32639254251578,0.12535163584909753,0.5801606704074793,0.7047146777962328
a,22,ZCA,0.1944788957605806,0.035145092929585425,0.24770980901862263,0.2923238253822211
a,22,PCA,0.1944454939479576,0.03520281833554638,0.23767370641978933,0.3183993837964369
a,22,Cholesky,0.1921098056402721,0.029246164854359068,0.24457698953039647,0.27281258721088086
a,22,ZCA-cor,0.19308682313173323,0.03764720562434909,0.2626191002525133,0.3101686849751338
a,22,PCA-cor,0.1915626169042761,0.029114265338995457,0.23311987374270216,0.2660207482634357
a,23,Mixed,0.30462197295126925,0.12403879825799537,0.5279608534295867,0.6993987179375349
a,23,ZCA,0.18791054189851467,0.030671402753446094,0.23314343591632394,0.2558772360149869
a,23,PCA,0.18781960928643077,0.0336103312537671,0.24323448302499973,0.2749534799143366
a,23,Cholesky,0.18698685626252182,0.027744280867487755,0.2382889171595871,0.265548691478243
a,23,ZCA-cor,0.18802667450930963,0.03153729393746028,0.24124756783351958,0.2543404596249612
a,23,PCA-cor,0.18425881749474204,0.03339656444850217,0.23811497498491735,0.2561523371008736
a,24,Mixed,0.3122598588032855,0.1308626869122291,0.5492413586465785,0.7120927518537145
a,24,ZCA,0.17180353593040648,0.0286508195060184,0.22612164827986547,0.2624843571744924
a,24,PCA,0.17303590406707886,0.02469732839911651,0.2132349932097002,0.22860025612054213
a,24,Cholesky,0.1764704151083799,0.027998987193074178,0.23103352783917855,0.25184731543575495
a,24,ZCA-cor,0.17163724205302125,0.027896123793259828,0.21192430963828116,0.2813479670106098
a,24,PCA-cor,0.1764086369226191,0.030051543166657552,0.22797242528240572,0.27803441859506667
a,25,Mixed,0.3080527531089214,0.1284766412382998,0.548918926020116,0.6984975145477265
a,25,ZCA,0.19845512200410712,0.0304837827327963,0.2423662027895861,0.2855043861159267
a,25,PCA,0.19592796473616844,0.0376374954406967,0.2568186507535232,0.32801745643787356
a,25,Cholesky,0.19255136651183508,0.041209612788861094,0.2684529067054194,0.33233028301292417
a,25,ZCA-cor,0.19763298676188748,0.02917286018650188,0.24409169909769762,0.28768941474354454
a,25,PCA-cor,0.1918600546320159,0.03324771386359104,0.24020428516580355,0.2873765343724276
a,26,Mixed,0.3058103081993174,0.0929462109577991,0.4682853341828574,0.6520613016933737
a,26,ZCA,0.17120152771323888,0.03377552472523206,0.2506594725568304,0.266659883257294
a,26,PCA,0.1697950598318518,0.03252711441389781,0.22083966947138886,0.29088981377238815
a,26,Cholesky,0.17187838690091797,0.03301101479600253,0.24134617763537508,0.29181372677773515
a,26,ZCA-cor,0.17133383771747673,0.03222841738233887,0.2381036787164312,0.26397069544042395
a,26,PCA-cor,0.17077592198999425,0.03241969846807794,0.22800508168600597,0.2906360119398836
a,27,Mixed,0.335744511570022,0.1319509102010144,0.6000673555993699,0.7596774004339194
a,27,ZCA,0.16919309869495233,0.026125174176178115,0.22140718015295613,0.23804137061290764
a,27,PCA,0.16899758675982537,0.024907679222012175,0.2138748344676044,0.23164269626818113
a,27,Cholesky,0.16736403864726368,0.023344070357536377,0.21487346774260513,0.23107640350126338
a,27,ZCA-cor,0.16977993473823957,0.026908465439401556,0.22606423828770433,0.23805760583131416
a,27,PCA-cor,0.16052044160529652,0.02308033709889316,0.1986675086620192,0.21854371863936756
a,28,Mixed,0.2947551145172822,0.1443209021584986,0.5853343717854701,0.6749589357857302
a,28,ZCA,0.16350473554788852,0.025643327915217614,0.21350030544229512,0.22666862680046956
a,28,PCA,0.15236146554732713,0.01909251106363029,0.18518597601647116,0.21198306642234624
a,28,Cholesky,0.1596607408058989,0.024441134812093472,0.20832976426745395,0.2173047278342531
a,28,ZCA-cor,0.1636487319732195,0.025588051552580197,0.2108866302903407,0.2323136882849135
a,28,PCA-cor,0.15920012970917213,0.021210922642976873,0.19840326521605745,0.2204249000528665
a,29,Mixed,0.3469550903011237,0.15037317934119293,0.623637252804952,0.7798774343579217
a,29,ZCA,0.17662807621076315,0.030841766698855716,0.22880431417434868,0.2534571471090098
a,29,PCA,0.17710010611246724,0.04219621791226642,0.24186983353820854,0.3163058530256403
a,29,Cholesky,0.1751313815752839,0.03835477574164487,0.2571458031335475,0.30915521358771614
